Title,Collaborators,Publication,Cited By,Year
Quality assessment of modeled protein structure using physicochemical properties,"PS Rana, H Sharma, M Bhattacharya, A Shukla","Journal of bioinformatics and computational biology 13 (02), 1550005, 2015",14,2015
D2N: Distance to the native,"A Mishra, PS Rana, A Mittal, B Jayaram","Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics 1844 (10), 1798-1807, 2014",9,2014
Self-Healing Neural Model For Stabilization Against Failures Over Networked UAVs,"V Sharma, R Nagdev, PS Rana","IEEE Communications Letters 19 (11), 2013 - 2016, 2015",8,2015
Ensemble approach to detect profile injection attack in recommender system,"A Kumar, D Garg, PS Rana","Advances in Computing, Communications and Informatics (ICACCI), 2015 …, 2015",3,2015
Fractal image compression using dynamically pipelined GPU clusters,"MS Chauhan, A Negi, PS Rana","Proceedings of the Second International Conference on Soft Computing for …, 2014",3,2014
Eye state prediction using ensembled machine learning models,"D Singla, PS Rana","Inventive Computation Technologies (ICICT), International Conference on 2, 1-5, 2016",2,2016
Consensus based ensemble model for spam detection,"P Pantola, A Bala, PS Rana","Advances in Computing, Communications and Informatics (ICACCI), 2015 …, 2015",2,2015
N-semble: Neural Network based ensemble approach,"R Rayal, D Khanna, JK Sandhu, N Hooda, PS Rana","International Journal of Machine Learning and Cybernetics, Springer, 2017",1,2017
Multilevel Ensemble Model for Prediction of IgA and IgG antibodies,"D Khanna, PS Rana","Immunology Letters, Elsevier, 2017",1,2017
Protein structure prediction (RMSD <= 5A) using machine learning models,"Y Pathak, PS Rana, PK Singh, M Saraswat","International Journal of Data Mining and Bioinformatics 14 (1), 71 - 85, 2016",1,2016
"Classification of E. coli, Lactobacillus and Bacillus Subtilis Using Computational Intelligence Approach","C Sharma, PS Rana","MSc Thesis, Thapar University, Patiala, Punjab., 2017",,2017
Optimization of Rate of Reaction Using Nature Inspired Algorithms,"A Shrivastava, PS Rana, S Modi","ME Thesis, Thapar University, Patiala, Punjab., 2017",,2017
Predicting Solubility of Chemical Compounds Computationally: An Ensemble Approach using QSAR Models,"K Sharma, PS Rana","ME Thesis, Thapar University, Patiala, Punjab., 2017",,2017
An Emergency Message Dissemination Protocol Using Greedy Forwarding Technique and Clustering for VANETS,"H Singh, PS Rana","ME Thesis, Thapar University, Patiala, Punjab., 2017",,2017
Multiple Decision Techniques for RMSD prediction of Protein Structure,"J Kaur, PS Rana","ME Thesis, Thapar University, Patiala, Punjab., 2017",,2017
Prediction of Rate of Chemical Reaction using Computational Intelligence,"A Kapoor, PS Rana, VP Singh","ME Thesis, Thapar University, Patiala, Punjab., 2017",,2017
T Ensemble Approach for Drug Toxicity Prediction,"N Hooda, S Bawa, PS Rana","International Conference on Science, Engineering , Law & Management, At …, 2017",,2017
B2FSE Framework for High Dimensional Imbalanced Data: A Case Study for Drug Toxicity Prediction,"N Hooda, PS Rana, S Bawa","Neurocomputing, Elsevier, 2017",,2017
Clustering Approach to detect Profile Injection Attacks in Recommender System,"A Kumar, D Garg, PS Rana","International Journal of Computer Applications 166 (6), 2017",,2017
Combined artificial bee colony algorithm and machine learning techniques for prediction of online consumer repurchase intention,"A Kumar, G Kabra, EK Mussada, MK Dash, PS Rana","Neural Computing and Applications, 1-14, 2017",,2017
"Information Retrieval in Web Crawling Using Population Based, and Local Search Based Meta-heuristics: A Review","P Sharma, J Kaur, V Arora, PS Rana","Proceedings of Sixth International Conference on Soft Computing for Problem …, 2017",,2017
Parameter Optimization for H. 265/HEVC Encoder Using NSGA II,"S Kumar, S Gupta, V Singh, M Khokhar, PS Rana","Proceedings of Sixth International Conference on Soft Computing for Problem …, 2017",,2017
Optimization of cutting parameters in machining of UD-GFRP with PCD tool using NSGA II,"M Kumar, PS Rana","ME Thesis, Thapar University, Patiala, Punjab., 2016",,2016
Genetic Algorithm with Mixed Crossover approach for Travelling Salesman Problem,"PS Rana, SP Singh","Proceedings of the International Conference on Advances in Information …, 2016",,2016
Performance Study of Evolutionary Algorithms for Structure Stability Analysis of Al (n = 2–22),"Y Pathak, K Sharma, K Singh, PS Rana","Quantum Matter 5 (3), 1-8, 2016",,2016
A Diversity-Based Comparative Study for Advance Variants of Differential Evolution,"PS Rana, K Sharma, M Bhattacharya, A Shukla, H Sharma","Proceedings of the Second International Conference on Soft Computing for …, 2014",,2014
Structure stability analysis of Ni n (n= 2–22) using nature inspired algorithms: a performance study,"PS Rana, SK Jain, M Bhattacharya, A Shukla","International Journal of Advanced Intelligence Paradigms 5 (1-2), 16-30, 2013",,2013
Guided Reproduction in Differential Evolution.,"PS Rana, H Sharma, M Bhattacharya, A Shukla","SEAL, 117-127, 2012",,2012
